objetivo;modelo;cv_best_score_f1_weighted;test_precision_weighted;test_recall_weighted;test_f1_weighted;test_precision_macro;test_recall_macro;test_f1_macro;best_params
Plan_entrenamiento;RegresionLogistica;0.8939288711155523;0.8885653397371293;0.8890034364261168;0.8887132617971105;0.8819521854594089;0.8712103746792649;0.8763839033326665;{'model__C': 1, 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}
Plan_nutrición;RegresionLogistica;0.8253875471178308;0.8218485061800637;0.8233676975945017;0.822131754835799;0.7995288972026116;0.7710834347103971;0.7835934782585633;{'model__C': 1, 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'saga'}
Plan_entrenamiento;ArbolDecision;0.9988219016008992;1.0;1.0;1.0;1.0;1.0;1.0;{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}
Plan_nutrición;ArbolDecision;0.9966147041859296;0.9969176466853145;0.9969072164948454;0.9969095872357138;0.9971068987373336;0.9964303454726409;0.996764284239611;{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}
